id_Siniestro; Importe pagado ;Estado;Fecha Siniestro;Mes;Año;Unidad de Negocio;Id_PAS;Localidad de Ocurrencia;CP;Provincia;Marca;Modelo;Versión;Año;Suma Asegurada
4813;$ 1.020.000,00;CERRADO;20/9/2023;Septiembre;2023;Buenos Aires;1462;BELEN DE ESCOBAR;1625;Buenos Aires;HONDA;BUSINESS;WAVE  110S C/D;2023;$ 1.020.000,00
4151;$ 343.000,00;CERRADO;7/8/2023;Agosto;2023;Buenos Aires;199;VILLA BALLESTER;1653;Buenos Aires;GILERA;CUB;110 SMASH AUTOMATICA;2022;$ 343.000,00
9034;$ 2.066.000,00;CERRADO;17/4/2024;Abril;2024;Buenos Aires;145;JOSE LEON SUAREZ;1655;Buenos Aires;HONDA;BUSINESS;GLH 150;2022;$ 2.066.000,00
4320;$ 330.500,00;CERRADO;19/8/2023;Agosto;2023;Buenos Aires;1025;VILLA LOMA HERMOSA;1657;Buenos Aires;ZANELLA;ENDURO;ZR 150;2016;$ 330.500,00
4043;$ 687.500,00;CERRADO;30/7/2023;Julio;2023;Buenos Aires;80;AGUSTIN FERRARI;1723;Buenos Aires;YAMAHA;TURISMO;150 FZ FI S;2014;$ 687.500,00
4233;$ 1.650.000,00;CERRADO;13/8/2023;Agosto;2023;USE;11;LANUS OESTE;1824;Buenos Aires;BAJAJ;STREET;DOMINAR 250;2022;$ 1.650.000,00
8529;$ 946.471,00;CERRADO;22/3/2024;Marzo;2024;Buenos Aires;263;LLAVALLOL;1836;Buenos Aires;BRAVA;STREET;ALTINO  150;2014;$ 946.471,00
4695;$ 406.000,00;CERRADO;13/9/2023;Septiembre;2023;Buenos Aires;140;BERAZATEGUI;1884;Buenos Aires;MONDIAL;STREET;150 RD CLASSIC;2021;$ 406.000,00
4715;$ 336.500,00;CERRADO;14/9/2023;Septiembre;2023;Buenos Aires;617;FLORENCIO VARELA;1888;Buenos Aires;MOTOMEL;BUSINESS;110 BLITZ BASE V8;2019;$ 336.500,00
3611;$ 862.500,00;CERRADO;28/6/2023;Junio;2023;La Plata;209;LA PLATA;1900;Buenos Aires;BAJAJ;STREET;ROUSER  200 NS;2017;$ 862.500,00
4528;$ 1.844.000,00;CERRADO;1/9/2023;Septiembre;2023;La Plata;732;LA PLATA SUCURSAL No.2;1900;Buenos Aires;BAJAJ;STREET;ROUSER  200 RS;2017;$ 1.844.000,00
4255;$ 1.298.000,00;CERRADO;14/8/2023;Agosto;2023;Buenos Aires;12;OPEN DOOR;6708;Buenos Aires;HONDA;ON OFF;XR  190 L;2021;$ 1.298.000,00
4644;$ 528.961,00;CERRADO;10/9/2023;Septiembre;2023;Buenos Aires;1180;sin localidad;sin C/P;C.A. de Buenos Aires;MOTOMEL;BUSINESS;110 BLITZ BASE V8;2023;$ 528.961,00
1596;$ 189.000,00;CERRADO;30/12/2022;Diciembre;2022;Buenos Aires;748;FLORENCIO VARELA;1888;Buenos Aires;MOTOMEL;STREET;CG 150;2013;$ 189.000,00
933;$ 380.000,00;CERRADO;20/10/2022;Octubre;2022;Buenos Aires;319;ALVARADO 1901-3400;1290;C.A. de Buenos Aires;YAMAHA;SCOOTER;115 RAY ZR CIGNUS;2018;$ 380.000,00
3045;$ 539.000,00;CERRADO;7/5/2023;Mayo;2023;Buenos Aires;1161;LOMAS DE ZAMORA;1832;Buenos Aires;HONDA;BUSINESS;WAVE  110S C/D;2021;$ 539.000,00
1922;$ 355.000,00;CERRADO;30/1/2023;Enero;2023;Cordoba;582;ARGUELLO;5147;Cordoba;HONDA;BUSINESS;WAVE  110S NEW BASE;2022;$ 355.000,00
2743;$ 1.412.000,00;CERRADO;11/4/2023;Abril;2023;Cordoba;1087;VILLA CARLOS PAZ;5152;Cordoba;ROYAL ENFIELD;HIMALAYAN;410 HIMALAYAN;2021;$ 1.412.000,00
1591;$ 308.500,00;CERRADO;29/12/2022;Diciembre;2022;La Plata;747;BERAZATEGUI;1884;Buenos Aires;HONDA;BUSINESS;WAVE  110S NEW BASE;2020;$ 308.500,00
